CLASSIF,DATE_CASE,REF,NOT_COUNTRY,SUBJET,PROD_CAT,TYPE,RISK_DECISION,ACTION_TAKEN,DISTRIBUTION_STAT,PRODUCT,HAZARDS,HAZARDS_CAT,COUNT_ORIGEN
border rejection,2009-04-29,2009.AWE,Greece,bone fragments and Sarcocystis spp in corned beef from Brazil,meat and meat products (other than poultry),food,undecided,re-dispatch,no distribution,corned beef,"sarcocystis spp,bone fragments","parasitic infestation,foreign bodies",Brazil
information,2009-04-29,2009.0554,Lithuania,Listeria in preserved herring and rainbow trout (Oncorhynchus mykiss) from Belarus,fish and fish products,food,undecided,(obsolete),distribution on the market (possible),preserved herring and rainbow trout (oncorhynchus mykiss),listeria,microbial contaminants (other),Belarus
alert,2009-04-29,2009.0548,Greece,migration of primary aromatic amines (4.65 mg/kg - ppm) from spoons from France,food contact materials,fcm,undecided,recall from consumers,distribution on the market (possible),spoons,migration of primary aromatic amines,migration,France
border rejection,2009-04-29,2009.AWI,France,aflatoxins (B1 = 5.0; Tot. = 5.1 µg/kg - ppb) in dried figs Lérida from Turkey,fruits and vegetables,food,undecided,placed under customs seals,no distribution,dried figs lérida,aflatoxins,mycotoxins,Turkey
border rejection,2009-04-29,2009.AWF,Italy,too high level of overall migration (1000; 16 mg/kg - ppm) from pan set from China,food contact materials,fcm,undecided,re-dispatch,no distribution,pan set,too high level of overall migration,migration,China
information,2009-04-29,2009.0551,Greece,"traces of milk (casein > 1 mg/kg - ppm) in breakfast cereals from France, via Germany",cereals and bakery products,food,undecided,return to consignor,distribution on the market (possible),breakfast cereals,traces of milk,allergens,"France,Germany"
border rejection,2009-04-29,2009.AWB,Netherlands,aflatoxins (B1 = 26; Tot. = 28 µg/kg - ppb) in black pepper powder from India,herbs and spices,food,undecided,official detention,no distribution,black pepper powder,aflatoxins,mycotoxins,India
information,2009-04-29,2009.0547,Germany,"migration of iron (77 µg/l) from strainer set from China, via the Netherlands",food contact materials,fcm,undecided,withdrawal from the market,distribution restricted to notifying country,strainer set,migration of iron,metals,China
information,2009-04-29,2009.0552,Germany,dioxins (27.81 pg WHO TEQ/g) in lamb liver from the United Kingdom,meat and meat products (other than poultry),food,undecided,(obsolete),no stock left,lamb liver,dioxins,environmental pollutants,United Kingdom
alert,2009-04-29,2009.0555,Italy,imazalil (8.0 mg/kg - ppm) in oranges from Spain,fruits and vegetables,food,undecided, ,distribution on the market (possible),oranges,imazalil,pesticide residues,Spain
border rejection,2009-04-29,2009.AWJ,Germany,aflatoxins (Tot. = 13.5 µg/kg - ppb) in hazelnuts from Turkey,"nuts, nut products and seeds",food,undecided,re-dispatch,no distribution,hazelnuts,aflatoxins,mycotoxins,Turkey
border rejection,2009-04-29,2009.AWH,France,aflatoxins (B1 = 3.5; Tot. = 10.7 µg/kg - ppb) in natural dried figs from Turkey,fruits and vegetables,food,undecided,placed under customs seals,no distribution,natural dried figs,aflatoxins,mycotoxins,Turkey
information,2009-04-29,2009.0553,Germany,deterioration of organoleptic characteristics of food in contact with plastic drinking cups from China,food contact materials,fcm,undecided,withdrawal from the market,distribution on the market (possible),plastic drinking cups,deterioration of organoleptic characteristics,organoleptic aspects,China
border rejection,2009-04-29,2009.AWC,Netherlands,aflatoxins (B1 = 48; Tot. = 52 µg/kg - ppb) in turmeric powder from India,herbs and spices,food,undecided,official detention,no distribution,turmeric powder,aflatoxins,mycotoxins,India
border rejection,2009-04-29,2009.AWG,France,aflatoxins (B1 = 2.6; Tot. = 7.9 µg/kg - ppb) in dried figs Lerida from Turkey,fruits and vegetables,food,undecided,placed under customs seals,no distribution,dried figs lerida,aflatoxins,mycotoxins,Turkey
alert,2009-04-29,2009.0549,Austria,high content of iodine (3500; 3040 mg/kg - ppm) in dried algae from Japan,fruits and vegetables,food,undecided,withdrawal from recipient(s),distribution on the market (possible),dried algae,high content of iodine,composition,Japan
border rejection,2009-04-29,2009.AVZ,Poland,"excrements of insects (1), foreign body (buttrfly coocons: 5.5 %) and rodent excrements (4) in dried hibiscus flower from Nigeria","cocoa and cocoa preparations, coffee and tea",food,undecided,re-dispatch,no distribution,dried hibiscus flower,"excrements of insects,foreign body,rodent excrements","foreign bodies,foreign bodies,foreign bodies",Nigeria
border rejection,2009-04-29,2009.AWA,Poland,rodent excrements in dried hibiscus flower from Nigeria,"cocoa and cocoa preparations, coffee and tea",food,undecided,re-dispatch,no distribution,dried hibiscus flower,rodent excrements,foreign bodies,Nigeria
information,2009-04-29,2009.0550,Austria,Salmonella (positive /25g) in soy bean meal from Italy,feed materials,feed,undecided,(obsolete),distribution on the market (possible),soy bean meal,salmonella,pathogenic micro-organisms,Italy
border rejection,2009-04-29,2009.AWD,Spain,cadmium (1.77 mg/kg - ppm) in frozen octopus from India,cephalopods and products thereof,food,undecided,(obsolete),no distribution,frozen octopus,cadmium,metals,India
information,2009-04-28,2009.0537,Netherlands,unauthorised substance carbendazim (1.5 mg/kg - ppm) in fresh grapes from Peru,fruits and vegetables,food,undecided,no action taken,no stock left,fresh grapes,unauthorised substance carbendazim,pesticide residues,Peru
border rejection,2009-04-28,2009.AVV,Belgium,prohibited substance nitrofuran (metabolite) nitrofurazone (SEM) (> MRPL) in frozen fresh water headless shellon IQF king prawns (Macrobrachium rosenbergii) from Bangladesh,crustaceans and products thereof,food,undecided,re-dispatch,no distribution,frozen fresh water headless shellon iqf king prawns (macrobrachium rosenbergii),prohibited substance nitrofuran (metabolite) nitrofurazone (sem),residues of veterinary medicinal products,Bangladesh
information,2009-04-28,2009.0546,Italy,too high content of E 210 - benzoic acid (249; 260 mg/l) in tropical soft drink from Ecuador,non-alcoholic beverages,food,undecided,official detention,distribution restricted to notifying country,tropical soft drink,too high content of e 210 - benzoic acid,food additives and flavourings,Ecuador
information,2009-04-28,2009.0544,Italy,mercury (1.62 mg/kg - ppm) in swordfish (Xiphias gladius) from Singapore,fish and fish products,food,undecided,withdrawal from the market,distribution restricted to notifying country,swordfish (xiphias gladius),mercury,metals,Singapore
information,2009-04-28,2009.0540,France,mercury (2.911 mg/kg - ppm) in chilled shark (Scoliodon laticaudus) from India,fish and fish products,food,undecided,withdrawal from the market,distribution restricted to notifying country,chilled shark (scoliodon laticaudus),mercury,metals,India
border rejection,2009-04-28,2009.AVT,Poland,rodent excrements in dried hibiscus flowers from Nigeria infested with insects,"cocoa and cocoa preparations, coffee and tea",food,undecided,re-dispatch,no distribution,dried hibiscus flowers,"infested with insects,rodent excrements","foreign bodies,foreign bodies",Nigeria
alert,2009-04-28,2009.0538,Czech Republic,dioxins and dioxin-like polychlorobifenyls (sum of dioxins and dioxin-like PCBs = 39.7 pg/kg) in cod liver in own oil from Poland,fish and fish products,food,undecided,withdrawal from the market,distribution on the market (possible),cod liver in own oil,"dioxin-like polychlorobifenyls,dioxins","environmental pollutants,environmental pollutants",Poland
border rejection,2009-04-28,2009.AVQ,Germany,aflatoxins (B1 = 12.3; Tot. = 14.1 µg/kg - ppb) in roasted pistachio nuts from Turkey,"nuts, nut products and seeds",food,undecided,re-dispatch,no distribution,roasted pistachio nuts,aflatoxins,mycotoxins,Turkey
border rejection,2009-04-28,2009.AVS,Greece,aflatoxins (B1 = 1; Tot. = 1.1 / B1 = 5.6; Tot. = 6.0 / B1 = <0.1; Tot. = <0.5 µg/kg - ppb) in groundnut kernels from China,"nuts, nut products and seeds",food,undecided,re-dispatch,no distribution,groundnut kernels,aflatoxins,mycotoxins,China
information,2009-04-28,2009.0543,France,cadmium (2.1 mg/kg - ppm) in block frozen whole round squids from India,cephalopods and products thereof,food,undecided,withdrawal from the market,distribution restricted to notifying country,block frozen whole round squids,cadmium,metals,India
border rejection,2009-04-28,2009.AVW,Spain,bad hygienic state of melons from Brazil,fruits and vegetables,food,undecided,(obsolete),no distribution,melons,poor hygienic state,poor or insufficient controls,Brazil
information,2009-04-28,2009.0541,Poland,fragments of bones of land animals in dried porcine blood from Italy,feed materials,feed,undecided,destruction,distribution on the market (possible),dried porcine blood,fragments of bones of land animals,foreign bodies,Italy
border rejection,2009-04-28,2009.AVR,Germany,aflatoxins (B1 = 3.74; Tot. = 12.9 µg/kg - ppb) in diced hazelnuts from Turkey,"nuts, nut products and seeds",food,undecided,re-dispatch,no distribution,diced hazelnuts,aflatoxins,mycotoxins,Turkey
border rejection,2009-04-28,2009.AVY,Belgium,prohibited substance nitrofuran (metabolite) nitrofurazone (SEM) (4.7; 3.8; 2.3; 3.0 µg/kg - ppb) in fresh water headless shell on easy peel shrimps (Macrobrachium rosenbergii) from Bangladesh,crustaceans and products thereof,food,undecided,re-dispatch,no distribution,fresh water headless shell on easy peel shrimps (macrobrachium rosenbergii),prohibited substance nitrofuran (metabolite) nitrofurazone (sem),residues of veterinary medicinal products,Bangladesh
information,2009-04-28,2009.0539,Belgium,prohibited substance nitrofuran (metabolite) nitrofurazone (SEM) (10 µg/kg - ppb) in frozen freshwater headless shell on shrimps (Macrobrachium rosenbergii) from Bangladesh,crustaceans and products thereof,food,undecided,(obsolete),distribution restricted to notifying country,frozen freshwater headless shell on shrimps (macrobrachium rosenbergii),prohibited substance nitrofuran (metabolite) nitrofurazone (sem),residues of veterinary medicinal products,Bangladesh
information,2009-04-28,2009.0545,Italy,too high content of E 210 - benzoic acid (254; 245 mg/l) in soft drink from Ecuador,non-alcoholic beverages,food,undecided,seizure,distribution restricted to notifying country,soft drink,too high content of e 210 - benzoic acid,food additives and flavourings,Ecuador
information,2009-04-28,2009.0542,Czech Republic,cadmium (0.256; 0.170; 0.139; 0.190 mg/kg - ppm) in canned sardines in vegetable oil from Morocco,fish and fish products,food,undecided,withdrawal from the market,distribution restricted to notifying country,canned sardines in vegetable oil,cadmium,metals,Morocco
border rejection,2009-04-28,2009.AVU,Poland,rodent excrements in dried hibiscus flowers from Nigeria,"cocoa and cocoa preparations, coffee and tea",food,undecided,official detention,no distribution,dried hibiscus flowers,rodent excrements,foreign bodies,Nigeria
border rejection,2009-04-28,2009.AVX,France,aflatoxins (B1=20.9; Tot=28.9; B1=0.9; Tot=9.6 µg/kg - ppb) in dried figs from Turkey,fruits and vegetables,food,undecided,placed under customs seals,no distribution,dried figs,aflatoxins,mycotoxins,Turkey
information,2009-04-27,2009.0529,Italy,"Listeria monocytogenes (presence /25g) in smoked salmon (Salmo salar) from Poland, via Germany",fish and fish products,food,undecided,destruction,distribution on the market (possible),smoked salmon (salmo salar),listeria monocytogenes,microbial contaminants (other),Poland
border rejection,2009-04-27,2009.AVO,Poland,rodent excrements in dried hibiscus flowers from Nigeria infested with insects,"cocoa and cocoa preparations, coffee and tea",food,undecided,re-dispatch,no distribution,dried hibiscus flowers,"infested with insects,rodent excrements","foreign bodies,foreign bodies",Nigeria
border rejection,2009-04-27,2009.AVK,Spain,bad hygienic state of peanuts from Brazil,"nuts, nut products and seeds",food,undecided,re-dispatch,no distribution,peanuts,poor hygienic state,poor or insufficient controls,Brazil
information,2009-04-27,2009.0528,Italy,cadmium (2.6 mg/kg - ppm) in crabs (Cancer pagurus) from France,crustaceans and products thereof,food,undecided,(obsolete),distribution on the market (possible),crabs (cancer pagurus),cadmium,metals,France
information,2009-04-27,2009.0531,Czech Republic,tetracycline (12.3 µg/kg - ppb) unauthorised in honey from Ukraine,honey and royal jelly,food,undecided,return to consignor,distribution restricted to notifying country,honey,tetracycline unauthorised,residues of veterinary medicinal products,Ukraine
information,2009-04-27,2009.0532,Denmark,unauthorised colour Sudan 1 (3.8 mg/kg - ppm) in strong curry powder from India,herbs and spices,food,undecided,destruction,distribution restricted to notifying country,strong curry powder,unauthorised colour sudan 1,composition,India
