PROD_CAT,NOT_COUNTRY,COUNT_ORIGEN,HAZARDS_CAT,HAZARDS,RISK_DECISION
herbs and spices,germany,germany,composition,unauthorised colour para red,undecided
herbs and spices,germany,germany,"composition,composition","unauthorised colour para red,unauthorised colour sudan 1",undecided
herbs and spices,portugal,turkey,microbial contaminants (other),too high count of enterobacteriaceae,undecided
molluscs and products thereof - (obsolete),united kingdom,canada,natural toxins (other),diarrhoeic shellfish poisoning (dsp) toxins,undecided
"nuts, nut products and seeds",united kingdom,malawi,mycotoxins,aflatoxins,undecided
herbs and spices,spain,,composition,unauthorised colour sudan 1,undecided
meat and meat products (other than poultry),belgium,argentina,pathogenic micro-organisms,campylobacter,undecided
meat and meat products (other than poultry),belgium,united states,pathogenic micro-organisms,salmonella,undecided
meat and meat products (other than poultry),poland,hungary,microbial contaminants (other),listeria monocytogenes,undecided
food contact materials,italy,italy,migration,migration of diisopropylnaphtalene isomers,undecided
fruits and vegetables,lithuania,turkey,mycotoxins,ochratoxin a,undecided
fruits and vegetables,czech republic,italy,pesticide residues,unauthorised substance endosulfan,undecided
crustaceans and products thereof,germany,vietnam,pathogenic micro-organisms,salmonella,undecided
poultry meat and poultry meat products,hungary,romania,pathogenic micro-organisms,salmonella,undecided
fruits and vegetables,united kingdom,india,"pesticide residues,pesticide residues","unauthorised substance endosulfan,unauthorised substance ethion",undecided
animal nutrition - (obsolete),germany,germany,pathogenic micro-organisms,salmonella enterica ser. senftenberg,undecided
fish and fish products,italy,oman,composition,carbon monoxide treatment,undecided
"dietetic foods, food supplements, fortified foods",ireland,united kingdom,"radiation,radiation","unauthorised irradiation,unlabelled irradiation",undecided
fruits and vegetables,united kingdom,dominican republic,pesticide residues,methiocarb,undecided
meat and meat products (other than poultry),france,argentina,"microbial contaminants (other),microbial contaminants (other)","too high count of aerobic mesophiles,too high count of coliforms",undecided
fats and oils,united kingdom,"ghana,sierra leone",composition,unauthorised colour sudan 4,undecided
meat and meat products (other than poultry),italy,france,"pathogenic micro-organisms,pathogenic micro-organisms","salmonella enterica ser. agona,salmonella enterica ser. typhimurium",undecided
herbs and spices,united kingdom,"spain,united kingdom",composition,unauthorised colour para red,undecided
"nuts, nut products and seeds",germany,india,pathogenic micro-organisms,salmonella enterica ser. senftenberg,undecided
crustaceans and products thereof,italy,united arab emirates,residues of veterinary medicinal products,presence of bacterial inhibitor,undecided
wine,slovakia,bulgaria,"food additives and flavourings,food additives and flavourings","unauthorised use of colour e 110 - sunset yellow fcf,unauthorised use of colour e 122 - azorubine",undecided
meat and meat products (other than poultry),italy,france,pathogenic micro-organisms,salmonella enterica ser. agona,undecided
meat and meat products (other than poultry),germany,switzerland,food additives and flavourings,too high content of e 251 - sodium nitrate,undecided
cereals and bakery products,czech republic,vietnam,food additives and flavourings,unauthorised use of colour e 104 - quinoline yellow,undecided
food contact materials,czech republic,italy,metals,tin,undecided
poultry meat and poultry meat products,italy,italy,pathogenic micro-organisms,salmonella enterica ser. münster,undecided
fruits and vegetables,czech republic,turkey,mycotoxins,ochratoxin a,undecided
fruits and vegetables,slovenia,united states,food additives and flavourings,e 579 - ferrous glucomate unauthorised,undecided
meat and meat products (other than poultry),italy,denmark,"metals,metals","cadmium,lead",undecided
crustaceans and products thereof,malta,malta,food additives and flavourings,too high content of sulphite,undecided
confectionery,estonia,estonia,food additives and flavourings,too high content of colour e 124 - ponceau 4r / cochineal red a,undecided
meat and meat products (other than poultry),norway,spain,microbial contaminants (other),listeria monocytogenes,undecided
"dietetic foods, food supplements, fortified foods",germany,netherlands,composition,unauthorised substance chromium picolinate,undecided
fruits and vegetables,sweden,"netherlands,thailand",pesticide residues,unauthorised substance profenofos,undecided
"cocoa and cocoa preparations, coffee and tea",slovakia,slovakia,pathogenic micro-organisms,salmonella,undecided
fish and fish products,italy,"netherlands,philippines",composition,carbon monoxide treatment,undecided
herbs and spices,united kingdom,united kingdom,composition,unauthorised colour para red,undecided
fish and fish products,italy,china,packaging defective / incorrect,damaged packaging,undecided
honey and royal jelly,germany,china,residues of veterinary medicinal products,prohibited substance chloramphenicol,undecided
fish and fish products,italy,senegal,composition,carbon monoxide treatment,undecided
"nuts, nut products and seeds",united kingdom,uganda,mycotoxins,aflatoxins,undecided
fish and fish products,united kingdom,indonesia,"residues of veterinary medicinal products,residues of veterinary medicinal products","unauthorised substance leucomalachite green,unauthorised substance malachite green",undecided
honey and royal jelly,united kingdom,india,residues of veterinary medicinal products,prohibited substance chloramphenicol,undecided
animal nutrition - (obsolete),poland,ukraine,pathogenic micro-organisms,salmonella,undecided
confectionery,czech republic,greece,food additives and flavourings,e 210 - benzoic acid unauthorised,undecided
prepared dishes and snacks,germany,thailand,"radiation,radiation","irradiation in an unauthorised facility,unlabelled irradiation",undecided
herbs and spices,united kingdom,spain,composition,unauthorised colour para red,undecided
herbs and spices,italy,morocco,"microbial contaminants (other),microbial contaminants (other)","high count of hyphomycetes,too high count of enterobacteriaceae",undecided
fats and oils,france,ghana,food additives and flavourings,unauthorised use of colour e 160b - annato/bixin/norbixin,undecided
herbs and spices,france,spain,food additives and flavourings,unauthorised use of colour e 160b - annato/bixin/norbixin,undecided
herbs and spices,italy,morocco,microbial contaminants (other),infested with moulds,undecided
herbs and spices,slovakia,"czech republic,spain","composition,composition","unauthorised colour sudan 1,unauthorised colour sudan 4",undecided
herbs and spices,france,ghana,food additives and flavourings,unauthorised use of colour e 160b - annato/bixin/norbixin,undecided
fats and oils,cyprus,united states,food additives and flavourings,unauthorised food additive tbhq - tertiary butylhydroquinone,undecided
honey and royal jelly,germany,australia,residues of veterinary medicinal products,prohibited substance chloramphenicol,undecided
fats and oils,france,"belgium,unknown origin",food additives and flavourings,unauthorised use of colour e 160b - annato/bixin/norbixin,undecided
food contact materials,slovenia,croatia,metals,migration of iron,undecided
fish and fish products,italy,philippines,composition,carbon monoxide treatment,undecided
poultry meat and poultry meat products,norway,france,pathogenic micro-organisms,salmonella enterica ser. montevideo,undecided
confectionery,netherlands,indonesia,not determined / other,suffocation risk as a result of the consumption,undecided
molluscs and products thereof - (obsolete),italy,india,organoleptic aspects,abnormal colour,undecided
fish and fish products,france,netherlands,composition,carbon monoxide treatment,undecided
"nuts, nut products and seeds",netherlands,netherlands,"allergens,allergens","egg undeclared,shrimp undeclared",undecided
"nuts, nut products and seeds",germany,india,"pathogenic micro-organisms,pathogenic micro-organisms,pathogenic micro-organisms,pathogenic micro-organisms,pathogenic micro-organisms","salmonella enterica ser. gaminara,salmonella enterica ser. hvittingfoss,salmonella enterica ser. london,salmonella enterica ser. matopeni,salmonella enterica ser. urbana",undecided
animal nutrition - (obsolete),finland,germany,foreign bodies,fragments of bones of land animals,undecided
meat and meat products (other than poultry),norway,norway,metals,cadmium,undecided
fats and oils,france,west bank and gaza strip,poor or insufficient controls,unfit for human consumption,undecided
fruits and vegetables,slovakia,"czech republic,iran",mycotoxins,ochratoxin a,undecided
meat and meat products (other than poultry),germany,switzerland,poor or insufficient controls,inadequate drying,undecided
"nuts, nut products and seeds",united kingdom,"guinea,uganda",mycotoxins,aflatoxins,undecided
animal nutrition - (obsolete),united kingdom,france,composition,unauthorised feed additive organic selenium,undecided
animal nutrition - (obsolete),poland,hungary,pathogenic micro-organisms,salmonella,undecided
"soups, broths, sauces and condiments",spain,spain,metals,lead,undecided
molluscs and products thereof - (obsolete),portugal,tanzania,pathogenic micro-organisms,salmonella,undecided
food contact materials,hungary,china,metals,migration of lead,undecided
prepared dishes and snacks,united kingdom,germany,foreign bodies,foreign body,undecided
fish and fish products,spain,china,residues of veterinary medicinal products,aminoglycosides unauthorised,undecided
molluscs and products thereof - (obsolete),italy,egypt,pathogenic micro-organisms,salmonella,undecided
herbs and spices,germany,"croatia,india","radiation,radiation","irradiation in an unauthorised facility,unlabelled irradiation",undecided
meat and meat products (other than poultry),norway,spain,pathogenic micro-organisms,salmonella enterica ser. typhimurium,undecided
fish and fish products,italy,costa rica,metals,mercury,undecided
fats and oils,germany,"ghana,netherlands",composition,unauthorised colour sudan 4,undecided
fruits and vegetables,finland,"hong kong,japan","metals,composition","arsenic,high content of iodine",undecided
molluscs and products thereof - (obsolete),spain,spain,natural toxins (other),diarrhoeic shellfish poisoning (dsp) toxins,undecided
meat and meat products (other than poultry),norway,netherlands,pathogenic micro-organisms,salmonella enterica ser. dublin,undecided
herbs and spices,spain,uzbekistan,composition,unauthorised colour sudan 1,undecided
fats and oils,italy,"france,ghana",composition,unauthorised colour sudan 4,undecided
"nuts, nut products and seeds",germany,india,pathogenic micro-organisms,salmonella enterica ser. bareilly,undecided
animal nutrition - (obsolete),finland,denmark,pathogenic micro-organisms,salmonella enterica ser. meleagridis,undecided
fish and fish products,italy,"belgium,indonesia",composition,carbon monoxide treatment,undecided
poultry meat and poultry meat products,lithuania,france,pathogenic micro-organisms,salmonella group c1,undecided
non-alcoholic beverages,slovakia,czech republic,food additives and flavourings,too high content of colour e 122 - azorubine,undecided
animal nutrition - (obsolete),united kingdom,united kingdom,composition,unauthorised feed additive organic selenium,undecided
honey and royal jelly,spain,argentina,"residues of veterinary medicinal products,residues of veterinary medicinal products","sulfamethoxazole unauthorised,sulfathiazole unauthorised",undecided
fish and fish products,spain,indonesia,"composition,biological contaminants (other)","carbon monoxide treatment,histamine",undecided
fruits and vegetables,cyprus,greece,food additives and flavourings,too high content of sulphite,undecided
herbs and spices,italy,india,"pathogenic micro-organisms,pathogenic micro-organisms,microbial contaminants (other)","bacillus cereus,clostridium perfringens,too high count of enterobacteriaceae",undecided
fruits and vegetables,netherlands,thailand,"pesticide residues,pesticide residues","unauthorised substance epn,unauthorised substance triazophos",undecided
fats and oils,united kingdom,unknown origin,composition,unauthorised colour sudan 4,undecided
"nuts, nut products and seeds",norway,syria,pathogenic micro-organisms,salmonella enterica ser. amsterdam,undecided
fats and oils,germany,russia,"environmental pollutants,environmental pollutants","benzo(a)pyrene,polycyclic aromatic hydrocarbons",undecided
prepared dishes and snacks,greece,thailand,food additives and flavourings,unauthorised use of colour e 102 - tartrazine,undecided
food contact materials,slovenia,serbia and montenegro,organoleptic aspects,corrosion,undecided
food contact materials,slovenia,china,organoleptic aspects,abnormal smell,undecided
"cocoa and cocoa preparations, coffee and tea",lithuania,india,"food additives and flavourings,food additives and flavourings,food additives and flavourings","unauthorised use of colour e 102 - tartrazine,unauthorised use of colour e 122 - azorubine,unauthorised use of colour e 133 - brilliant blue fcf",undecided
fish and fish products,austria,denmark,microbial contaminants (other),listeria monocytogenes,undecided
fish and fish products,germany,italy,residues of veterinary medicinal products,unauthorised substance malachite green,undecided
herbs and spices,slovakia,"czech republic,spain",composition,unauthorised colour sudan 1,undecided
herbs and spices,germany,vietnam,"composition,composition","unauthorised colour orange ii,unauthorised colour rhodamine b",undecided
fruits and vegetables,ireland,"south africa,united kingdom","pesticide residues,pesticide residues","dimethoate,unauthorised substance omethoate",undecided
crustaceans and products thereof,united kingdom,thailand,residues of veterinary medicinal products,prohibited substance nitrofuran (metabolite) furazolidone (aoz),undecided
fruits and vegetables,lithuania,china,food additives and flavourings,too high content of sulphite,undecided
herbs and spices,netherlands,uzbekistan,composition,unauthorised colour para red,undecided
molluscs and products thereof - (obsolete),italy,spain,natural toxins (other),diarrhoeic shellfish poisoning (dsp) toxins,undecided
eggs and egg products,denmark,germany,pathogenic micro-organisms,salmonella,undecided
fats and oils,belgium,"côte d'ivoire,ghana",composition,unauthorised colour sudan 4,undecided
fats and oils,austria,"ghana,netherlands",composition,unauthorised colour sudan 4,undecided
milk and milk products,spain,spain,pathogenic micro-organisms,salmonella group b,undecided
herbs and spices,slovenia,egypt,pathogenic micro-organisms,clostridium perfringens,undecided
fruits and vegetables,united kingdom,nigeria,"metals,metals","arsenic,lead",undecided
fruits and vegetables,finland,hungary,foreign bodies,glass fragments,undecided
"dietetic foods, food supplements, fortified foods",france,france,pathogenic micro-organisms,salmonella enterica ser. agona,undecided
"soups, broths, sauces and condiments",united kingdom,italy,composition,unauthorised colour sudan 1,undecided
molluscs and products thereof - (obsolete),spain,spain,microbial contaminants (other),too high count of escherichia coli,undecided
poultry meat and poultry meat products,sweden,france,pathogenic micro-organisms,salmonella enterica ser. typhimurium,undecided
fruits and vegetables,germany,italy,pesticide residues,parathion,undecided
animal nutrition - (obsolete),cyprus,israel,metals,cadmium,undecided
fish and fish products,france,oman,composition,carbon monoxide treatment,undecided
animal nutrition - (obsolete),norway,norway,metals,cadmium,undecided
food contact materials,italy,china,"metals,metals,metals,metals","migration of chromium,migration of iron,migration of nickel,migration of zinc",undecided
honey and royal jelly,germany,india,residues of veterinary medicinal products,prohibited substance nitrofuran (metabolite) nitrofurazone (sem),undecided
fish and fish products,slovakia,turkey,biological contaminants (other),histamine,undecided
animal nutrition - (obsolete),finland,sweden,foreign bodies,fragments of bones of land animals,undecided
confectionery,slovenia,netherlands,food additives and flavourings,too high content of colour e 124 - ponceau 4r / cochineal red a,undecided
animal nutrition - (obsolete),norway,china,metals,cadmium,undecided
non-alcoholic beverages,italy,turkey,mycotoxins,patulin,undecided
meat and meat products (other than poultry),norway,australia,pathogenic micro-organisms,salmonella enterica ser. mgulani,undecided
herbs and spices,spain,china,food additives and flavourings,too high content of sulphite,undecided
meat and meat products (other than poultry),italy,france,parasitic infestation,parasitic infestation with cysticercus bovis,undecided
"nuts, nut products and seeds",cyprus,india,organoleptic aspects,altered organoleptic characteristics,undecided
eggs and egg products,sweden,netherlands,"food additives and flavourings,food additives and flavourings","e 211 - sodium benzoate unauthorised,e 451(i) - pentapotassium triphosphate unauthorised",undecided
"nuts, nut products and seeds",portugal,spain,mycotoxins,aflatoxins,undecided
cereals and bakery products,italy,argentina,poor or insufficient controls,incorrectly stored together with hazardous chemicals,undecided
"nuts, nut products and seeds",portugal,india,mycotoxins,aflatoxins,undecided
animal nutrition - (obsolete),slovakia,latvia,foreign bodies,ruminant tissue,undecided
poultry meat and poultry meat products,sweden,poland,pathogenic micro-organisms,salmonella enterica ser. hadar,undecided
poultry meat and poultry meat products,estonia,germany,"pathogenic micro-organisms,pathogenic micro-organisms","campylobacter jejuni,salmonella enterica ser. typhimurium",undecided
molluscs and products thereof - (obsolete),netherlands,united states,metals,cadmium,undecided
fruits and vegetables,spain,china,composition,too high content of erucic acid,undecided
poultry meat and poultry meat products,latvia,estonia,pathogenic micro-organisms,salmonella,undecided
poultry meat and poultry meat products,sweden,poland,"pathogenic micro-organisms,pathogenic micro-organisms","salmonella enterica ser. enteritidis,salmonella enterica ser. virchow",undecided
crustaceans and products thereof,italy,malaysia,pathogenic micro-organisms,vibrio parahaemolyticus,undecided
meat and meat products (other than poultry),norway,spain,"microbial contaminants (other),pathogenic micro-organisms","listeria monocytogenes,salmonella enterica ser. gold coast",undecided
"nuts, nut products and seeds",italy,china,foreign bodies,presence of desiccative bag,undecided
crustaceans and products thereof,france,india,pathogenic micro-organisms,vibrio parahaemolyticus,undecided
"dietetic foods, food supplements, fortified foods",finland,sweden,composition,high content of vitamins,undecided
"soups, broths, sauces and condiments",united kingdom,united kingdom,composition,unauthorised colour sudan 1,undecided
animal nutrition - (obsolete),italy,egypt,mycotoxins,aflatoxins,undecided
herbs and spices,belgium,spain,composition,unauthorised colour sudan 1,undecided
herbs and spices,france,india,composition,unauthorised colour sudan 1,undecided
fruits and vegetables,estonia,lithuania,food additives and flavourings,too high content of e 200 - sorbic acid,undecided
fish and fish products,italy,new zealand,pathogenic micro-organisms,vibrio alginolyticus,undecided
meat and meat products (other than poultry),germany,switzerland,food additives and flavourings,too high content of nitrite,undecided
herbs and spices,germany,thailand,food additives and flavourings,unauthorised use of colour e 127 - erythrosine,undecided
fruits and vegetables,portugal,italy,mycotoxins,aflatoxins,undecided
animal nutrition - (obsolete),germany,germany,composition,animal protein,undecided
molluscs and products thereof - (obsolete),spain,mexico,pathogenic micro-organisms,salmonella,undecided
herbs and spices,italy,ghana,composition,unauthorised colour sudan 1,undecided
cereals and bakery products,italy,italy,foreign bodies,rodent,undecided
"cocoa and cocoa preparations, coffee and tea",netherlands,germany,foreign bodies,metal particles,undecided
crustaceans and products thereof,italy,sweden,"food additives and flavourings,food additives and flavourings","sulphite undeclared,too high content of sulphite",undecided
crustaceans and products thereof,italy,"france,guatemala",food additives and flavourings,too high content of sulphite,undecided
herbs and spices,germany,hungary,mycotoxins,aflatoxins,undecided
fruits and vegetables,italy,italy,microbial contaminants (other),infested with moulds,undecided
fruits and vegetables,latvia,turkey,mycotoxins,aflatoxins,undecided
fruits and vegetables,italy,nigeria,organoleptic aspects,spoilage,undecided
fish and fish products,spain,chile,biological contaminants (other),histamine,undecided
non-alcoholic beverages,germany,france,microbial contaminants (other),infested with moulds,undecided
herbs and spices,belgium,china,metals,lead,undecided
fruits and vegetables,latvia,lithuania,composition,too high content of nitrate,undecided
herbs and spices,united kingdom,pakistan,"pathogenic micro-organisms,microbial contaminants (other)","salmonella enterica ser. edinburgh,too high count of enterobacteriaceae",undecided
animal nutrition - (obsolete),sweden,india,"pathogenic micro-organisms,pathogenic micro-organisms,pathogenic micro-organisms","salmonella enterica ser. agona,salmonella enterica ser. bredeney,salmonella enterica ser. mbandaka",undecided
herbs and spices,italy,egypt,"microbial contaminants (other),microbial contaminants (other),microbial contaminants (other)","infested with moulds,too high count of escherichia coli,too high count of coliforms",undecided
molluscs and products thereof - (obsolete),italy,vietnam,"microbial contaminants (other),microbial contaminants (other)","coagulase-positive staphylococcus,too high count of mesophiles",undecided
"nuts, nut products and seeds",united kingdom,nigeria,foreign bodies,infested with insects,undecided
molluscs and products thereof - (obsolete),greece,india,metals,cadmium,undecided
water for human consumption (other),germany,georgia,"composition,composition,composition,food additives and flavourings","too high content of barium,too high content of boron,too high content of fluoride,too high content of nitrite",undecided
meat and meat products (other than poultry),italy,"belgium,united states",pathogenic micro-organisms,salmonella,undecided
fruits and vegetables,united kingdom,ghana,metals,lead,undecided
poultry meat and poultry meat products,united kingdom,thailand,pathogenic micro-organisms,salmonella enterica ser. panama,undecided
fats and oils,germany,italy,composition,unauthorised colour sudan 1,undecided
"soups, broths, sauces and condiments",germany,germany,composition,unauthorised colour sudan 1,undecided
prepared dishes and snacks,united kingdom,united kingdom,composition,unauthorised colour sudan 1,undecided
fish and fish products,italy,maldives,metals,mercury,undecided
meat and meat products (other than poultry),france,netherlands,microbial contaminants (other),listeria monocytogenes,undecided
fruits and vegetables,united kingdom,kenya,"pesticide residues,pesticide residues","unauthorised substance endosulfan,unauthorised substance monocrotophos",undecided
molluscs and products thereof - (obsolete),italy,netherlands,pathogenic micro-organisms,salmonella enterica ser. typhimurium,undecided
fish and fish products,italy,tunisia,pathogenic micro-organisms,salmonella,undecided
fruits and vegetables,belgium,italy,"foreign bodies,microbial contaminants (other)","infested with insects,infested with moulds",undecided
herbs and spices,united kingdom,turkey,mycotoxins,aflatoxins,undecided
animal nutrition - (obsolete),estonia,germany,composition,unauthorised feed additive organic selenium,undecided
honey and royal jelly,cyprus,greece,pesticide residues,"1,4-dichlorobenzene",undecided
poultry meat and poultry meat products,sweden,estonia,pathogenic micro-organisms,salmonella,undecided
"dietetic foods, food supplements, fortified foods",italy,costa rica,novel food,unauthorised novel food,undecided
molluscs and products thereof - (obsolete),italy,turkey,pathogenic micro-organisms,vibrio cholerae,undecided
fruits and vegetables,finland,lebanon,pathogenic micro-organisms,salmonella enterica ser. montevideo,undecided
prepared dishes and snacks,germany,south korea,"radiation,radiation","unauthorised irradiation,unlabelled irradiation",undecided
fruits and vegetables,sweden,italy,pesticide residues,unauthorised substance dithiocarbamates,undecided
"cocoa and cocoa preparations, coffee and tea",italy,india,mycotoxins,ochratoxin a,undecided
fish and fish products,germany,sweden,residues of veterinary medicinal products,unauthorised substance malachite green,undecided
fruits and vegetables,lithuania,uzbekistan,microbial contaminants (other),infested with moulds,undecided
herbs and spices,germany,turkey,composition,unauthorised colour rhodamine b,undecided
animal nutrition - (obsolete),finland,brazil,pathogenic micro-organisms,salmonella enterica ser. typhimurium,undecided
cereals and bakery products,austria,germany,mycotoxins,fumonisins,undecided
fish and fish products,united kingdom,sri lanka,"metals,metals","cadmium,mercury",undecided
fruits and vegetables,italy,spain,food additives and flavourings,sulphite unauthorised,undecided
cereals and bakery products,ireland,france,not determined / other,suffocation risk as a result of the consumption,undecided
herbs and spices,germany,"netherlands,thailand",food additives and flavourings,unauthorised use of colour e 127 - erythrosine,undecided
fish and fish products,italy,"netherlands,panama",biological contaminants (other),histamine,undecided
"dietetic foods, food supplements, fortified foods",sweden,sweden,packaging defective / incorrect,defective packaging,undecided
confectionery,slovenia,brazil,"food additives and flavourings,food additives and flavourings","unauthorised use of colour e 123 - amaranth,unauthorised use of colour e 127 - erythrosine",undecided
cereals and bakery products,italy,italy,"composition,composition","unauthorised colour sudan 1,unauthorised colour sudan 4",undecided
fish and fish products,belgium,peru,metals,cadmium,undecided
food contact materials,belgium,"france,romania",metals,migration of lead,undecided
milk and milk products,spain,spain,foreign bodies,particles,undecided
poultry meat and poultry meat products,united kingdom,united kingdom,composition,unauthorised colour sudan 1,undecided
fish and fish products,latvia,lithuania,microbial contaminants (other),listeria monocytogenes,undecided
poultry meat and poultry meat products,austria,austria,pathogenic micro-organisms,salmonella group c,undecided
other food product / mixed,united kingdom,united kingdom,composition,unauthorised colour sudan 1,undecided
meat and meat products (other than poultry),malta,brazil,packaging defective / incorrect,damaged packaging,undecided
"nuts, nut products and seeds",latvia,china,mycotoxins,aflatoxins,undecided
herbs and spices,united kingdom,united kingdom,composition,unauthorised colour sudan 1,undecided
animal nutrition - (obsolete),cyprus,ireland,composition,unauthorised feed additive organic selenium,undecided
herbs and spices,slovenia,india,"mycotoxins,mycotoxins","aflatoxins,ochratoxin a",undecided
"dietetic foods, food supplements, fortified foods",netherlands,india,"metals,metals,metals","arsenic,lead,mercury",undecided
"dietetic foods, food supplements, fortified foods",netherlands,india,metals,mercury,undecided
"dietetic foods, food supplements, fortified foods",netherlands,india,"metals,metals","arsenic,mercury",undecided
non-alcoholic beverages,united kingdom,china,food additives and flavourings,too high content of e 210 - benzoic acid,undecided
confectionery,slovenia,croatia,food additives and flavourings,unauthorised use of colour e 123 - amaranth,undecided
poultry meat and poultry meat products,estonia,hungary,pathogenic micro-organisms,salmonella enterica ser. blockley,undecided
non-alcoholic beverages,united kingdom,china,"food additives and flavourings,food additives and flavourings","too high content of e 200 - sorbic acid,too high content of e 210 - benzoic acid",undecided
"nuts, nut products and seeds",italy,pakistan,"pathogenic micro-organisms,microbial contaminants (other)","bacillus cereus,too high count of enterobacteriaceae",undecided
honey and royal jelly,cyprus,cyprus,residues of veterinary medicinal products,sulfonamide unauthorised,undecided
meat and meat products (other than poultry),lithuania,netherlands,pathogenic micro-organisms,salmonella enterica ser. newlands,undecided
meat and meat products (other than poultry),norway,italy,microbial contaminants (other),listeria monocytogenes,undecided
"dietetic foods, food supplements, fortified foods",finland,finland,composition,high content of vitamin d,undecided
cereals and bakery products,belgium,belgium,foreign bodies,metal pieces,undecided
meat and meat products (other than poultry),norway,spain,"microbial contaminants (other),pathogenic micro-organisms","listeria monocytogenes,salmonella enterica ser. kedougou",undecided
"nuts, nut products and seeds",italy,india,"pathogenic micro-organisms,microbial contaminants (other)","bacillus cereus,too high count of enterobacteriaceae",undecided
food contact materials,spain,thailand,"migration,migration","inner coating cracked,inner coating oxidized",undecided
poultry meat and poultry meat products,sweden,poland,pathogenic micro-organisms,salmonella enterica ser. typhimurium,undecided
non-alcoholic beverages,spain,spain,food additives and flavourings,too high content of colour e 122 - azorubine,undecided
fats and oils,sweden,spain,pesticide residues,unauthorised substance endosulfan,undecided
fruits and vegetables,netherlands,greece,pesticide residues,unauthorised substance methidathion,undecided
fruits and vegetables,france,portugal,pesticide residues,unauthorised substance dithiocarbamates,undecided
fruits and vegetables,netherlands,south africa,pesticide residues,methomyl,undecided
"soups, broths, sauces and condiments",norway,united kingdom,composition,unauthorised colour sudan 1,undecided
fruits and vegetables,hungary,morocco,pesticide residues,unauthorised substance methamidophos,undecided
cereals and bakery products,czech republic,vietnam,"food additives and flavourings,food additives and flavourings","unauthorised use of colour e 104 - quinoline yellow,unauthorised use of colour e 133 - brilliant blue fcf",undecided
fish and fish products,france,united states,pathogenic micro-organisms,salmonella,undecided
"nuts, nut products and seeds",netherlands,syria,pathogenic micro-organisms,salmonella,undecided
milk and milk products,spain,spain,allergens,allergic reaction,undecided
"nuts, nut products and seeds",netherlands,"germany,syria",pathogenic micro-organisms,salmonella,undecided
fish and fish products,germany,china,parasitic infestation,parasitic infestation with nematodes,undecided
fats and oils,germany,"ghana,netherlands,nigeria",composition,unauthorised colour sudan 4,undecided
food contact materials,belgium,unknown origin,metals,migration of lead,undecided
herbs and spices,finland,south africa,radiation,unlabelled irradiation,undecided
animal nutrition - (obsolete),germany,france,"metals,metals","arsenic,lead",undecided
fruits and vegetables,slovakia,slovakia,pesticide residues,unauthorised substance dithiocarbamates,undecided
prepared dishes and snacks,united kingdom,united kingdom,poor or insufficient controls,excessive shelf life,undecided
animal nutrition - (obsolete),finland,netherlands,pathogenic micro-organisms,salmonella enterica ser. sambre,undecided
animal nutrition - (obsolete),austria,germany,pathogenic micro-organisms,salmonella enterica ser. agona,undecided
fish and fish products,italy,"indonesia,spain",composition,carbon monoxide treatment,undecided
"nuts, nut products and seeds",italy,"afghanistan,netherlands",mycotoxins,aflatoxins,undecided
"dietetic foods, food supplements, fortified foods",united kingdom,united kingdom,radiation,unauthorised irradiation,undecided
molluscs and products thereof - (obsolete),italy,tanzania,pathogenic micro-organisms,salmonella,undecided
poultry meat and poultry meat products,italy,germany,pathogenic micro-organisms,salmonella enterica ser. infantis,undecided
food contact materials,denmark,france,migration,too high level of overall migration,undecided
fruits and vegetables,italy,morocco,metals,cadmium,undecided
molluscs and products thereof - (obsolete),spain,turkey,"microbial contaminants (other),microbial contaminants (other)","too high count of escherichia coli,too high count of faecal coliforms",undecided
honey and royal jelly,greece,india,residues of veterinary medicinal products,streptomycin unauthorised,undecided
milk and milk products,france,italy,pathogenic micro-organisms,salmonella,undecided
animal nutrition - (obsolete),austria,germany,pathogenic micro-organisms,salmonella enterica ser. stanley,undecided
honey and royal jelly,greece,turkey,residues of veterinary medicinal products,prohibited substance chloramphenicol,undecided
food contact materials,denmark,germany,migration,too high level of overall migration,undecided
"dietetic foods, food supplements, fortified foods",slovenia,croatia,"pathogenic micro-organisms,microbial contaminants (other)","bacillus cereus,too high count of aerobic mesophiles",undecided
fruits and vegetables,belgium,kenya,"pesticide residues,pesticide residues","chlorothalonil,unauthorised substance dithiocarbamates",undecided
fish and fish products,italy,mauritius,metals,mercury,undecided
"dietetic foods, food supplements, fortified foods",united kingdom,portugal,labelling absent/incomplete/incorrect,incorrect labelling,undecided
poultry meat and poultry meat products,greece,canada,pathogenic micro-organisms,salmonella,undecided
herbs and spices,denmark,united kingdom,composition,unauthorised colour sudan 1,undecided
fats and oils,france,ghana,composition,unauthorised colour sudan 4,undecided
animal nutrition - (obsolete),italy,thailand,pathogenic micro-organisms,salmonella,undecided
animal nutrition - (obsolete),austria,poland,pathogenic micro-organisms,salmonella enterica ser. typhimurium,undecided
confectionery,lithuania,brazil,food additives and flavourings,unauthorised use of colour e 127 - erythrosine,undecided
herbs and spices,france,turkey,"composition,composition","unauthorised colour sudan 1,unauthorised colour sudan 4",undecided
non-alcoholic beverages,cyprus,cyprus,"food additives and flavourings,food additives and flavourings","e 217 - sodium propyl p-hydroxybenzoate unauthorised,e 219 - sodium methyl p-hydroxybenzoate unauthorised",undecided
non-alcoholic beverages,finland,sweden,"food additives and flavourings,food additives and flavourings","too high content of e 200 - sorbic acid,too high content of e 210 - benzoic acid",undecided
